
2016-05-16 08:34:19,900 p=5891 u=ivo |  PLAY [all] *********************************************************************
2016-05-16 08:34:19,923 p=5891 u=ivo |  TASK [setup] *******************************************************************
2016-05-16 08:34:21,225 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-05-16 08:34:21,696 p=5891 u=ivo |  ok: [147.75.201.115]
2016-05-16 08:34:22,594 p=5891 u=ivo |  ok: [192.168.140.86]
2016-05-16 08:34:22,986 p=5891 u=ivo |  ok: [pc-c220m4-r04-02.wisc.cloudlab.us]
2016-05-16 08:34:23,299 p=5891 u=ivo |  ok: [192.168.140.84]
2016-05-16 08:34:23,542 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-05-16 08:34:30,438 p=5891 u=ivo |  ok: [issdm-6]
2016-05-16 08:34:30,446 p=5891 u=ivo |  TASK [check for variables] *****************************************************
2016-05-16 08:34:30,528 p=5891 u=ivo |  ok: [issdm-6]
2016-05-16 08:34:30,533 p=5891 u=ivo |  ok: [147.75.201.115]
2016-05-16 08:34:30,546 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-05-16 08:34:30,554 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-05-16 08:34:30,571 p=5891 u=ivo |  ok: [192.168.140.86]
2016-05-16 08:34:30,574 p=5891 u=ivo |  ok: [192.168.140.84]
2016-05-16 08:34:30,581 p=5891 u=ivo |  ok: [pc-c220m4-r04-02.wisc.cloudlab.us]
2016-05-16 08:34:30,586 p=5891 u=ivo |  TASK [tag results accordingly] *************************************************
2016-05-16 08:34:30,651 p=5891 u=ivo |  ok: [issdm-6]
2016-05-16 08:34:30,654 p=5891 u=ivo |  ok: [147.75.201.115]
2016-05-16 08:34:30,656 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-05-16 08:34:30,661 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-05-16 08:34:30,675 p=5891 u=ivo |  ok: [192.168.140.84]
2016-05-16 08:34:30,680 p=5891 u=ivo |  ok: [192.168.140.86]
2016-05-16 08:34:30,690 p=5891 u=ivo |  ok: [pc-c220m4-r04-02.wisc.cloudlab.us]
2016-05-16 08:34:30,695 p=5891 u=ivo |  TASK [run wrf without limits] **************************************************
2016-05-16 08:34:30,871 p=5891 u=ivo |  included: /home/ivo/src/bams-popper/experiments/common/run_wrf.yml for issdm-6, 147.75.201.115, nibbler.soe.ucsc.edu, dwill.soe.ucsc.edu, 192.168.140.84, 192.168.140.86, pc-c220m4-r04-02.wisc.cloudlab.us
2016-05-16 08:34:30,932 p=5891 u=ivo |  TASK [check assumptions] *******************************************************
2016-05-16 08:34:31,027 p=5891 u=ivo |  ok: [issdm-6]
2016-05-16 08:34:31,039 p=5891 u=ivo |  ok: [147.75.201.115]
2016-05-16 08:34:31,051 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-05-16 08:34:31,055 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-05-16 08:34:31,060 p=5891 u=ivo |  ok: [192.168.140.84]
2016-05-16 08:34:31,077 p=5891 u=ivo |  ok: [192.168.140.86]
2016-05-16 08:34:31,087 p=5891 u=ivo |  ok: [pc-c220m4-r04-02.wisc.cloudlab.us]
2016-05-16 08:34:31,093 p=5891 u=ivo |  TASK [initialize wrf_timing if not set] ****************************************
2016-05-16 08:34:31,178 p=5891 u=ivo |  ok: [issdm-6]
2016-05-16 08:34:31,193 p=5891 u=ivo |  ok: [147.75.201.115]
2016-05-16 08:34:31,198 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-05-16 08:34:31,215 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-05-16 08:34:31,220 p=5891 u=ivo |  ok: [192.168.140.84]
2016-05-16 08:34:31,227 p=5891 u=ivo |  ok: [192.168.140.86]
2016-05-16 08:34:31,241 p=5891 u=ivo |  ok: [pc-c220m4-r04-02.wisc.cloudlab.us]
2016-05-16 08:34:31,246 p=5891 u=ivo |  TASK [initialize wrf_exec_tag if not set] **************************************
2016-05-16 08:34:31,311 p=5891 u=ivo |  skipping: [issdm-6]
